po_id,mb_id,po_datetime,po_content,po_point,po_use_point,po_expired,po_expire_date,po_mb_point,po_rel_table,po_rel_id,po_rel_action
1,baraem,2025-11-18 15:28:26,2025-11-18 첫로그인,100,0,0,9999-12-31,100,@login,baraem,2025-11-18
2,baraem,2025-11-19 10:32:31,2025-11-19 첫로그인,100,0,0,9999-12-31,200,@login,baraem,2025-11-19
3,baraem,2025-11-20 10:05:43,2025-11-20 첫로그인,100,0,0,9999-12-31,300,@login,baraem,2025-11-20
4,baraem,2025-11-21 10:19:48,2025-11-21 첫로그인,100,0,0,9999-12-31,400,@login,baraem,2025-11-21
5,baraem,2025-11-24 16:56:46,2025-11-24 첫로그인,100,0,0,9999-12-31,500,@login,baraem,2025-11-24
6,baraem,2025-11-25 14:31:18,2025-11-25 첫로그인,100,0,0,9999-12-31,600,@login,baraem,2025-11-25
7,baraem,2025-11-26 15:08:00,2025-11-26 첫로그인,100,0,0,9999-12-31,700,@login,baraem,2025-11-26
8,baraem,2025-11-27 15:32:51,2025-11-27 첫로그인,100,0,0,9999-12-31,800,@login,baraem,2025-11-27
